,(22-24 month & 3 day & Hindlimb Unloaded)v(6 month & Not Applicable & Normally Loaded Control),(22-24 month & 3 day & Hindlimb Unloaded)v(22-24 month & Not Applicable & Hindlimb Unloaded),(22-24 month & 3 day & Hindlimb Unloaded)v(22-24 month & Not Applicable & Normally Loaded Control),(22-24 month & 3 day & Hindlimb Unloaded)v(6 month & Not Applicable & Hindlimb Unloaded),(22-24 month & 3 day & Hindlimb Unloaded)v(6 month & 3 day & Hindlimb Unloaded),(6 month & Not Applicable & Normally Loaded Control)v(22-24 month & Not Applicable & Hindlimb Unloaded),(6 month & Not Applicable & Normally Loaded Control)v(22-24 month & Not Applicable & Normally Loaded Control),(6 month & Not Applicable & Normally Loaded Control)v(6 month & Not Applicable & Hindlimb Unloaded),(6 month & Not Applicable & Normally Loaded Control)v(6 month & 3 day & Hindlimb Unloaded),(22-24 month & Not Applicable & Hindlimb Unloaded)v(22-24 month & Not Applicable & Normally Loaded Control),(22-24 month & Not Applicable & Hindlimb Unloaded)v(6 month & Not Applicable & Hindlimb Unloaded),(22-24 month & Not Applicable & Hindlimb Unloaded)v(6 month & 3 day & Hindlimb Unloaded),(22-24 month & Not Applicable & Normally Loaded Control)v(6 month & Not Applicable & Hindlimb Unloaded),(22-24 month & Not Applicable & Normally Loaded Control)v(6 month & 3 day & Hindlimb Unloaded),(6 month & Not Applicable & Hindlimb Unloaded)v(6 month & 3 day & Hindlimb Unloaded)
1,22-24 month & 3 day & Hindlimb Unloaded,22-24 month & 3 day & Hindlimb Unloaded,22-24 month & 3 day & Hindlimb Unloaded,22-24 month & 3 day & Hindlimb Unloaded,22-24 month & 3 day & Hindlimb Unloaded,6 month & Not Applicable & Normally Loaded Control,6 month & Not Applicable & Normally Loaded Control,6 month & Not Applicable & Normally Loaded Control,6 month & Not Applicable & Normally Loaded Control,22-24 month & Not Applicable & Hindlimb Unloaded,22-24 month & Not Applicable & Hindlimb Unloaded,22-24 month & Not Applicable & Hindlimb Unloaded,22-24 month & Not Applicable & Normally Loaded Control,22-24 month & Not Applicable & Normally Loaded Control,6 month & Not Applicable & Hindlimb Unloaded
2,6 month & Not Applicable & Normally Loaded Control,22-24 month & Not Applicable & Hindlimb Unloaded,22-24 month & Not Applicable & Normally Loaded Control,6 month & Not Applicable & Hindlimb Unloaded,6 month & 3 day & Hindlimb Unloaded,22-24 month & Not Applicable & Hindlimb Unloaded,22-24 month & Not Applicable & Normally Loaded Control,6 month & Not Applicable & Hindlimb Unloaded,6 month & 3 day & Hindlimb Unloaded,22-24 month & Not Applicable & Normally Loaded Control,6 month & Not Applicable & Hindlimb Unloaded,6 month & 3 day & Hindlimb Unloaded,6 month & Not Applicable & Hindlimb Unloaded,6 month & 3 day & Hindlimb Unloaded,6 month & 3 day & Hindlimb Unloaded
